ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,1,1.2,1.2,1.20338983050847,1,1,0.0975404049994095,1,2019-09-04,0,2,17:22:36.411,0.508474576271186,1,0,0,0.010996962198247,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,0,0,NaN,NaN,NaN,NaN,0.63235924622541,BDM,NaN,NaN,0,17:22:27.327,1,1,1,BDM,1,1.2
3,4,0.0424931645657024,0.0509917974788429,1.2,1.20338983050847,1,2,0.957506835434298,2,2019-09-04,0,2,17:22:49.759,0.508474576271186,1,0.35,0,1,random,1,100,left,win_paid,1,1,0.35,0.35,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,0.546881519204984,BDM,NaN,NaN,0,17:22:41.182,1,2,1,BDM,1,1.25099179747884
3,4,1,1.2,1.2,1.20338983050847,1,3,0.970592781760616,3,2019-09-04,0,2,17:23:02.896,0.508474576271186,1,0.35,0,0.575120364206656,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,1,0,NaN,NaN,NaN,NaN,0.157613081677548,BDM,NaN,NaN,0,17:22:54.042,1,3,1,BDM,2,2.45099179747884
3,4,1,1.2,1.2,1.20338983050847,1,4,0.8002804688888,4,2019-09-04,0,2,17:23:26.312,0.508474576271186,1,0.35,0,0.519464516387393,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,1,0,NaN,NaN,NaN,NaN,0.485375648722841,BDM,NaN,NaN,0,17:23:16.639,1,4,1,BDM,3,3.65099179747884
3,4,1,1.2,1.2,1.20338983050847,1,5,0.915735525189067,5,2019-09-04,0,2,17:23:40.154,0.508474576271186,1,0.35,0,0.478719028333617,random,0,100,left,lose,0,1,0,0.35,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,0.421761282626275,BDM,NaN,NaN,0,17:23:30.456,1,5,1,BDM,4,4.85099179747884
3,4,0.344259300843413,0.413111161012096,1.2,1.20338983050847,1,6,0.655740699156587,6,2019-09-04,0,2,17:23:53.946,0.508474576271186,1,1.4,0,0.992449001082459,random,1,100,left,win_paid,3,1,1.05,1.05,1.50847457627119,3,2,0,NaN,NaN,NaN,NaN,0.959492426392903,BDM,NaN,NaN,0,17:23:44.372,1,6,1,BDM,4,5.26410295849094
3,4,1,1.2,1.2,1.20338983050847,1,7,0.933993247757551,7,2019-09-04,0,2,17:24:06.733,0.508474576271186,1,1.4,0,0.0860027681388252,random,0,100,left,lose,0,1,0,0.35,1.50847457627119,1,2,0,NaN,NaN,NaN,NaN,0.849129305868777,BDM,NaN,NaN,0,17:23:58.055,1,7,1,BDM,5,6.46410295849094
3,4,0.256867531875084,0.308241038250101,1.2,1.20338983050847,1,8,0.743132468124916,8,2019-09-04,0,2,17:24:20.459,0.508474576271186,1,2.45,0,0.848237753533115,random,1,100,left,win_paid,3,1,1.05,1.05,1.50847457627119,3,3,0,NaN,NaN,NaN,NaN,0.757740130578333,BDM,NaN,NaN,0,17:24:10.825,1,8,1,BDM,5,6.77234399674104
3,4,0.828813312188438,0.994575974626126,1.2,1.20338983050847,1,9,0.171186687811562,9,2019-09-04,0,2,17:24:34.070,0.508474576271186,1,3.15,0,0.667658613222766,random,1,100,left,win_paid,2,1,0.7,0.7,1.50847457627119,2,4,0,NaN,NaN,NaN,NaN,0.655477890177557,BDM,NaN,NaN,0,17:24:24.521,1,9,1,BDM,5,7.76691997136717
3,4,1,1.2,1.2,1.20338983050847,1,10,0.27692298496089,10,2019-09-04,0,2,17:24:47.756,0.508474576271186,1,3.15,0,0.0777593180313482,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,4,0,NaN,NaN,NaN,NaN,0.0318328463774207,BDM,NaN,NaN,0,17:24:38.155,1,10,1,BDM,6,8.96691997136717
3,4,1,1.2,1.2,1.20338983050847,1,11,0.823457828327293,11,2019-09-04,0,2,17:24:58.280,0.508474576271186,1,3.15,0,0.0971317812358475,random,0,100,left,lose,0,1,0,0.35,1.50847457627119,1,4,0,NaN,NaN,NaN,NaN,0.0971317812358475,BDM,NaN,NaN,0,17:24:51.871,1,11,1,BDM,7,10.1669199713672
3,4,1,1.2,1.2,1.20338983050847,1,12,0.950222048838355,12,2019-09-04,0,2,17:25:10.979,0.508474576271186,1,3.15,0,0.421133146511992,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,4,0,NaN,NaN,NaN,NaN,0.317099480060861,BDM,NaN,NaN,0,17:25:02.371,1,12,1,BDM,8,11.3669199713672
3,4,0.618441542906992,0.74212985148839,1.2,1.20338983050847,1,13,0.381558457093008,13,2019-09-04,0,2,17:25:23.792,0.508474576271186,1,3.5,0,0.590162753930175,random,1,100,left,win_paid,1,1,0.35,0.35,1.50847457627119,1,5,0,NaN,NaN,NaN,NaN,0.438744359656398,BDM,NaN,NaN,0,17:25:15.054,1,13,1,BDM,8,12.1090498228556
3,4,0.813127395445621,0.975752874534746,1.2,1.20338983050847,1,14,0.186872604554379,14,2019-09-04,0,2,17:25:37.611,0.508474576271186,1,4.55,0,0.948419670482614,random,1,100,left,win_paid,3,1,1.05,1.05,1.50847457627119,3,6,0,NaN,NaN,NaN,NaN,0.795199901137063,BDM,NaN,NaN,0,17:25:27.871,1,14,1,BDM,8,13.0848026973903
3,4,1,1.2,1.2,1.20338983050847,1,15,0.646313010111265,15,2019-09-04,0,2,17:25:50.292,0.508474576271186,1,4.55,0,0.550597756651304,random,0,100,left,lose,0,1,0,0.7,1.50847457627119,2,6,0,NaN,NaN,NaN,NaN,0.445586200710899,BDM,NaN,NaN,0,17:25:41.738,1,15,1,BDM,9,14.2848026973903
3,4,0.723974923001422,0.868769907601706,1.2,1.20338983050847,1,16,0.276025076998578,16,2019-09-04,0,2,17:26:03.992,0.508474576271186,1,5.6,0,0.790611236757168,random,1,100,left,win_paid,3,1,1.05,1.05,1.50847457627119,3,7,0,NaN,NaN,NaN,NaN,0.754686681982361,BDM,NaN,NaN,0,17:25:54.405,1,16,1,BDM,9,15.153572604992
3,4,0.837388264805369,1.00486591776644,1.2,1.20338983050847,1,17,0.162611735194631,17,2019-09-04,0,2,17:26:17.742,0.508474576271186,1,6.65,0,0.701487686455369,random,1,100,left,win_paid,3,1,1.05,1.05,1.50847457627119,3,8,0,NaN,NaN,NaN,NaN,0.655098003973841,BDM,NaN,NaN,0,17:26:08.104,1,17,1,BDM,9,16.1584385227584
3,4,1,1.2,1.2,1.20338983050847,1,18,0.959743958516081,18,2019-09-04,0,2,17:26:31.422,0.508474576271186,1,6.65,0,0.567862795870933,random,0,100,left,lose,0,1,0,0.35,1.50847457627119,1,8,0,NaN,NaN,NaN,NaN,0.498364051982143,BDM,NaN,NaN,0,17:26:21.855,1,18,1,BDM,10,17.3584385227584
3,4,0.776188060508863,0.931425672610636,1.2,1.20338983050847,1,19,0.223811939491137,19,2019-09-04,0,2,17:26:44.690,0.508474576271186,1,7.35,0,0.745367053562002,random,1,100,left,win_paid,2,1,0.7,0.7,1.50847457627119,2,9,0,NaN,NaN,NaN,NaN,0.585267750979777,BDM,NaN,NaN,0,17:26:35.520,1,19,1,BDM,10,18.2898641953691
3,4,1,1.2,1.2,1.20338983050847,1,20,0.505957051665142,20,2019-09-04,0,2,17:26:58.479,0.508474576271186,1,7.35,0,0.266006297889702,random,0,100,left,lose,0,1,0,1.05,1.50847457627119,3,9,0,NaN,NaN,NaN,NaN,0.255095115459269,BDM,NaN,NaN,0,17:26:48.804,1,20,1,BDM,11,19.4898641953691
