ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3.76271186440678,4,0.455094101755328,0.546112922106394,1.2,1.20338983050847,NaN,1,0.544905898244672,1,2019-12-04,0,2,11:45:58.574,0.423728813559322,1.50847457627119,0.7,0,0.5744778116284,ordered,1,100,NaN,win_paid,2,1,0.7,0.7,1.50847457627119,2,1,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:45:47.919,1,1,1,BDM,0,0.546112922106394
3.32203389830508,4,1,1.2,1.2,1.20338983050847,NaN,2,0.686223462984041,2,2019-12-04,0,2,11:46:13.593,0.389830508474576,1.42372881355932,0.7,0,0.629136086634068,ordered,0,100,NaN,lose,0,1,0,0.35,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:46:03.574,1,2,1,BDM,1,1.74611292210639
3.42372881355932,4,1,1.2,1.2,1.20338983050847,NaN,3,0.893632695933602,3,2019-12-04,0,2,11:46:27.893,0.423728813559322,1.05084745762712,0.7,0,0.581605396633543,ordered,0,100,NaN,lose,0,1,0,1.05,1.50847457627119,3,1,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,11:46:18.290,1,3,1,BDM,2,2.94611292210639
3.32203389830508,4,0.945208210080268,1.13424985209632,1.2,1.20338983050847,NaN,4,0.0547917899197324,4,2019-12-04,0,2,11:46:41.944,0.440677966101695,0.813559322033898,1.75,0,0.553341928410973,ordered,1,100,NaN,win_paid,3,1,1.05,1.05,1.50847457627119,3,2,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:46:32.390,1,4,1,BDM,2,4.08036277420272
2.74576271186441,4,NaN,0,1.2,1.20338983050847,NaN,5,0.303661379717016,4,2019-12-04,1,8.71186440677966,11:46:58.079,0.423728813559322,0.898305084745763,1.75,0,NaN,ordered,NaN,80,NaN,fail_monkey_bidding_activity,NaN,1,0,0.7,1.50847457627119,2,2,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,1,11:46:45.874,1,5,1,BDM,2,4.08036277420272
2,4,0.696338620282984,0.835606344339581,1.2,1.20338983050847,NaN,6,0.303661379717016,5,2019-12-04,1,2,11:47:10.806,0.322033898305085,0.898305084745763,2.45,0,0.637456642395223,ordered,1,83.3333333333333,NaN,win_paid,2,1,0.7,0.7,1.50847457627119,2,3,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:47:01.356,1,6,1,BDM,2,4.9159691185423
2.84745762711864,4,NaN,0,1.2,1.20338983050847,NaN,7,0.0461915563315478,5,2019-12-04,2,8.71186440677966,11:47:26.987,0.474576271186441,1,2.45,0,NaN,ordered,NaN,71.4285714285714,NaN,fail_monkey_bidding_activity,NaN,1,0,0.35,1.50847457627119,1,3,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,1,11:47:14.789,1,7,1,BDM,2,4.9159691185423
2,4,0.953808443668452,1.14457013240214,1.2,1.20338983050847,NaN,8,0.0461915563315478,6,2019-12-04,2,2,11:47:39.410,0.491525423728814,0.661016949152542,2.8,0,0.544935607221283,ordered,1,75,NaN,win_paid,1,1,0.35,0.35,1.50847457627119,1,4,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:47:30.106,1,8,1,BDM,2,6.06053925094444
2.77966101694915,4,0.804523236366202,0.965427883639442,1.2,1.20338983050847,NaN,9,0.195476763633798,7,2019-12-04,2,2,11:47:52.780,0.576271186440678,0.728813559322034,3.15,0,0.477264083356238,ordered,1,77.7777777777778,NaN,win_paid,1,1,0.35,0.35,1.50847457627119,1,5,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,11:47:43.322,1,9,1,BDM,2,7.02596713458388
2.59322033898305,4,1,1.2,1.2,1.20338983050847,NaN,10,0.720165802516526,8,2019-12-04,2,2,11:48:05.704,0.508474576271186,0.491525423728814,3.15,0,0.460752279636274,ordered,0,80,NaN,lose,0,1,0,0.7,1.50847457627119,2,5,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,11:47:56.489,1,10,1,BDM,3,8.22596713458388
