ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,1,1.2,1.2,1.2,NaN,1,NaN,1,2019-30-05,0,2,11:25:59.178,0.5,1,0,0,0.800874647837677,ordered,0,100,left,budget_chosen,0,1,0,0.55,1.5,2,0,1,0.1,NaN,NaN,NaN,0.5,bundle_choice,NaN,NaN,0,11:25:49.207,1,1,1,BC,1,1.2
3,4,NaN,0,1.2,1.2,NaN,2,NaN,1,2019-30-05,1,8.68333333333333,11:26:16.802,0.5,1,0,1,NaN,ordered,NaN,50,right,fail_monkey_bidding_activity,NaN,1,0,0.2,1.5,1,0,1,0.7,NaN,NaN,NaN,0.5,bundle_choice,NaN,NaN,1,11:26:04.237,1,2,1,BC,1,1.2
3,4,1,1.2,1.2,1.2,NaN,3,NaN,2,2019-30-05,1,2,11:26:30.687,0.5,1,0,2,0.257152824457879,ordered,0,66.6666666666667,right,budget_chosen,0,1,0,0.2,1.5,1,0,1,0.7,NaN,NaN,NaN,0.5,bundle_choice,NaN,NaN,0,11:26:21.287,1,3,1,BC,2,2.4
3,4,1,1.2,1.2,1.2,NaN,4,NaN,3,2019-30-05,1,2,11:26:47.720,0.5,1,0.9,2,0.739324419221725,ordered,1,75,right,fractal_chosen_paid,3,1,0.9,0.9,1.5,3,1,2,1,NaN,NaN,NaN,0.5,bundle_choice,NaN,NaN,0,11:26:38.137,1,4,1,BC,2,3.6
