y_adjust,monkey_bid,remaining_budget,reward,computer_bid,offer_value,win,budget_liquid,reward_liquid,monkey_final_bid,task_failure
96,0.671578415542868,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
32,0.52972778595292,0.501961358083178,1,0.498038641916822,1,1,0.602353629699813,0.15,0.52972778595292,NaN
0,0.396844743540748,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.430053865117636,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.689528035703233,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
-398.068028917327,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
-32,0.283417945096837,1,0,0.880094995129499,1,0,1.2,-0.15,0.283417945096837,NaN
344,0.48892187975761,0.962459128195905,1,0.0375408718040952,1,1,1.15495095383509,0.15,0.48892187975761,NaN
184,0.57500357997442,0.859280016133953,3,0.140719983866047,3,1,1.03113601936074,0.75,0.57500357997442,NaN
536,0.158726765748586,1,0,0.736161391374777,2,0,1.2,-0.15,0.158726765748586,NaN
-491.335850520358,0.606896551724138,1,0,0.671196650208789,3,0,1.2,-0.15,0.606896551724138,NaN
0,0.256901559432932,1,0,0.373019687079349,1,0,1.2,-0.15,0.256901559432932,NaN
288,0.181479648025847,1,0,0.604497464249208,1,0,1.2,-0.15,0.181479648025847,NaN
-608,0.83619438707962,1,0,0.952373087868728,3,0,1.2,-0.15,0.83619438707962,NaN
0,0.160710539821295,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.0584233397246767,1,0,0.956964027018964,3,0,1.2,-0.15,0.0584233397246767,NaN
-32,0.245010248632943,1,0,0.340102009475103,2,0,1.2,-0.15,0.245010248632943,NaN
560,0.0894934954321991,0.911758925556068,1,0.0882410744439325,1,1,1.09411071066728,0.15,0.0894934954321991,NaN
72,0.280113527143551,1,0,0.699366730651209,3,0,1.2,-0.15,0.280113527143551,NaN
-232,0.828165399155994,0.843151184440398,2,0.156848815559601,2,1,1.01178142132848,0.45,0.828165399155994,NaN
0,0.789576089262618,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.0239103648627004,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.45114603336877,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.627782257480813,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.423348567432367,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
-224,0.727038104956865,0.437638174908194,2,0.562361825091806,2,1,0.525165809889833,0.45,0.727038104956865,NaN
231.76054749496,0,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
-88,0.587098327822943,0.458462431618811,3,0.541537568381189,3,1,0.550154917942574,0.75,0.587098327822943,NaN
72,0.752538071904508,0.763830234483079,1,0.236169765516921,1,1,0.916596281379694,0.15,0.752538071904508,NaN
-32,0.650692817445649,0.732597410152599,1,0.267402589847401,1,1,0.879116892183119,0.15,0.650692817445649,NaN
0,0.629864264819438,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.67544961438171,0.331804300068388,1,0.668195699931612,1,1,0.398165160082066,0.15,0.67544961438171,NaN
