adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-230,1.2,0,0.7,-0.239583333333333,2,0,NaN,1
-234,1.2,0,0.4,-0.24375,1,0,NaN,1
-197,1.2,0,0.1,-0.205208333333333,3,0,NaN,1
-239,1.2,0,0.8,-0.248958333333333,2,0,NaN,1
-235,0.72,1,0.4,-0.244791666666667,1,0.15,NaN,1
-184,0.72,1,0.4,-0.191666666666667,2,0.45,NaN,1
-202,1.2,0,0.5,-0.210416666666667,2,0,NaN,1
-268,1.2,0,0.7,-0.279166666666667,3,0,NaN,1
-197,1.2,0,1,-0.205208333333333,1,0,NaN,1
-192,1.2,0,0.9,-0.2,2,0,NaN,1
-166,1.2,0,0.3,-0.172916666666667,1,0,NaN,1
-202,0.72,1,0.4,-0.210416666666667,1,0.15,NaN,1
-161,1.2,0,0.8,-0.167708333333333,3,0,NaN,1
-199,0.36,1,0.7,-0.207291666666667,2,0.45,NaN,1
-108,NaN,0,0.9,NaN,2,NaN,undefined error - probably missed both choices,NaN
-235,NaN,0,0.3,NaN,2,NaN,unfinished_bidding,NaN
-309,NaN,1,0.4,NaN,1,NaN,unfinished_bidding,NaN
-296,NaN,0,0.5,NaN,3,NaN,unfinished_bidding,NaN
-666,NaN,1,0.5,NaN,1,NaN,unfinished_bidding,NaN
-583,NaN,1,0.3,NaN,1,NaN,unfinished_bidding,NaN
-377,0.72,1,0.4,-0.392708333333333,3,0.75,NaN,1
-249,1.2,0,0.7,-0.259375,1,0,NaN,1
-181,0.84,1,0.3,-0.188541666666667,2,0.45,NaN,1
-447,1.08,1,0.1,-0.465625,3,0.75,NaN,1
-338,NaN,1,0.6,NaN,2,NaN,unfinished_bidding,NaN
