y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
8,0.417123054441938,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
297.023339260955,0,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
448,0.24932661203337,0,1,0,0.836764679080944,3,1.2,0.24932661203337,NaN,-0.15
-528,0.750903390468073,0,1,0,0.826489496408724,3,1.2,0.750903390468073,NaN,-0.15
280,0.271658175733845,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
88,0.213540392034925,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-104,0.255978899097339,0,1,0,0.366653203756152,2,1.2,0.255978899097339,NaN,-0.15
368,0.455361463851378,0,1,0,0.78535839834295,2,1.2,0.455361463851378,NaN,-0.15
-456,0.721153114575511,1,0.421530332660155,1,0.578469667339845,1,0.505836399192186,0.721153114575511,NaN,0.15
-496,0.701455221218654,0,1,0,0.736834344509413,3,1.2,0.701455221218654,NaN,-0.15
-344.514851028426,0.871264367816092,1,0.837821479227017,3,0.162178520772983,3,1.00538577507242,0.871264367816092,NaN,0.75
32,0.634309718929678,1,0.6218801621621,2,0.3781198378379,2,0.74625619459452,0.634309718929678,NaN,0.45
152,0.407574926732874,0,1,0,0.81709941753394,3,1.2,0.407574926732874,NaN,-0.15
758.045120674834,0.0367816091954023,0,1,0,0.751922704634201,1,1.2,0.0367816091954023,NaN,-0.15
-40,0.601845983756389,1,0.40416145179228,3,0.59583854820772,3,0.484993742150735,0.601845983756389,NaN,0.75
-144,0.626005106987457,0,1,0,0.960901413506078,1,1.2,0.626005106987457,NaN,-0.15
232,0.457862106175297,1,0.662022711884633,1,0.337977288115367,1,0.79442725426156,0.457862106175297,NaN,0.15
36.1927309242577,0.788505747126437,1,0.842288714890931,2,0.157711285109069,2,1.01074645786912,0.788505747126437,NaN,0.45
-168,0.326582592267538,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-88,0.608126304716157,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-184,0.267211776702296,0,1,0,0.591583496683094,3,1.2,0.267211776702296,NaN,-0.15
