y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
-80,0.707485902829042,1,0.708416746185654,3,0.291583253814346,3,0.850100095422785,0.707485902829042,NaN,0.75
16,0.148212017178286,0,1,0,0.228258674402254,1,1.2,0.148212017178286,NaN,-0.15
384,0.285771868733819,0,1,0,0.52125974644451,1,1.2,0.285771868733819,NaN,-0.15
400,0.214404493791291,0,1,0,0.908616041383252,2,1.2,0.214404493791291,NaN,-0.15
-448,0.561731882021267,1,0.498103500718538,2,0.501896499281462,2,0.597724200862245,0.561731882021267,NaN,0.45
-56,0.499154651135145,1,0.762305366223707,3,0.237694633776293,3,0.914766439468449,0.499154651135145,NaN,0.75
80,0.777332045428741,1,0.954451439778283,3,0.0455485602217167,3,1.14534172773394,0.777332045428741,NaN,0.75
-376,0.796187613336226,1,0.738971030670556,2,0.261028969329444,2,0.886765236804667,0.796187613336226,NaN,0.45
-352,0.787236666331998,1,0.862495405325475,3,0.137504594674525,3,1.03499448639057,0.787236666331998,NaN,0.75
-472,0.721580421478623,1,0.349718075354509,2,0.650281924645492,2,0.41966169042541,0.721580421478623,NaN,0.45
-208,0.696091836495334,1,0.716808376920129,1,0.283191623079871,1,0.860170052304155,0.696091836495334,NaN,0.15
-104,0.261083100040717,0,1,0,0.599147815364284,2,1.2,0.261083100040717,NaN,-0.15
0,0.205457220285399,0,1,0,0.967461826629827,2,1.2,0.205457220285399,NaN,-0.15
344,0.391204975831848,0,1,0,0.73049713487426,1,1.2,0.391204975831848,NaN,-0.15
-400,0.789080228331984,0,1,0,0.840067505359604,1,1.2,0.789080228331984,NaN,-0.15
184,0.731226098439989,1,0.588713215308715,2,0.411286784691285,2,0.706455858370458,0.731226098439989,NaN,0.45
-392,0.558376529986167,1,0.784338313823902,3,0.215661686176098,3,0.941205976588683,0.558376529986167,NaN,0.75
-33.4467381614165,0.211494252873563,0,1,0,0.610963765964978,3,1.2,0.211494252873563,NaN,-0.15
0,0.468266408163525,1,0.991564271975451,3,0.00843572802454896,3,1.18987712637054,0.468266408163525,NaN,0.75
184,0.349176417619016,1,0.691251833151389,2,0.308748166848611,2,0.829502199781667,0.349176417619016,NaN,0.45
-184,0.443188552882765,1,0.625164936007978,1,0.374835063992022,1,0.750197923209574,0.443188552882765,NaN,0.15
-152,0.401893500167128,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-502.781668986856,0.84367816091954,0,1,0,0.939361802976538,3,1.2,0.84367816091954,NaN,-0.15
-184,0.805226740396123,1,0.521105814084156,2,0.478894185915844,2,0.625326976900987,0.805226740396123,NaN,0.45
360,0.2697415856724,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
160,0.1771524513885,1,0.862523476042296,3,0.137476523957704,3,1.03502817125075,0.1771524513885,NaN,0.75
264,0.26850895760094,1,0.814801576368756,1,0.185198423631244,1,0.977761891642508,0.26850895760094,NaN,0.15
208,0.559719579619422,1,0.713775550878772,3,0.286224449121228,3,0.856530661054526,0.559719579619422,NaN,0.75
-240,0.328318643952914,0,1,0,0.807754610335659,1,1.2,0.328318643952914,NaN,-0.15
376,0.487618183718234,1,0.995122085716958,2,0.00487791428304224,2,1.19414650286035,0.487618183718234,NaN,0.45
-112,0.240579507806928,0,1,0,0.853249464709558,1,1.2,0.240579507806928,NaN,-0.15
-360,0.864703204542057,1,0.953215240711409,1,0.0467847592885909,1,1.14385828885369,0.864703204542057,NaN,0.15
160,0.139826707429025,0,1,0,0.551308932511699,2,1.2,0.139826707429025,NaN,-0.15
-544,0.825796631501823,0,1,0,0.943403251014119,2,1.2,0.825796631501823,NaN,-0.15
632,0.236957220758702,0,1,0,0.539986650354289,1,1.2,0.236957220758702,NaN,-0.15
0,0.345159263467541,0,1,0,0.60729224126981,3,1.2,0.345159263467541,NaN,-0.15
-288,0.79580558165188,1,0.939205045006222,3,0.0607949549937783,3,1.12704605400747,0.79580558165188,NaN,0.75
424,0.152038042698331,0,1,0,0.254872656965572,3,1.2,0.152038042698331,NaN,-0.15
160,0.513447579036642,0,1,0,0.664709270679838,3,1.2,0.513447579036642,NaN,-0.15
-424,0.774025696248598,1,0.419544433172211,3,0.580455566827789,3,0.503453319806653,0.774025696248598,NaN,0.75
80,0.612945097010423,0,1,0,0.647170357744209,2,1.2,0.612945097010423,NaN,-0.15
-272,0.837364018492066,1,0.739065697827956,2,0.260934302172044,2,0.886878837393547,0.837364018492066,NaN,0.45
-232,0.862481796101808,1,0.229023137337077,1,0.770976862662923,1,0.274827764804493,0.862481796101808,NaN,0.15
-224,0.524536165764347,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-484.847291398332,0.825287356321839,1,0.350260227427373,2,0.649739772572627,2,0.420312272912848,0.825287356321839,NaN,0.45
480,0.222191256626236,0,1,0,0.244479474684865,2,1.2,0.222191256626236,NaN,-0.15
-96,0.318875545484878,0,1,0,0.680851573988485,3,1.2,0.318875545484878,NaN,-0.15
-48,0.380317527419724,1,0.881019593829014,2,0.118980406170986,2,1.05722351259482,0.380317527419724,NaN,0.45
0,0.365831162672785,0,1,0,0.406541649543736,1,1.2,0.365831162672785,NaN,-0.15
136,0.543348984948994,1,0.819686649648813,2,0.180313350351187,2,0.983623979578576,0.543348984948994,NaN,0.45
-320,0.551812944761941,0,1,0,0.96539493402962,3,1.2,0.551812944761941,NaN,-0.15
-792,0.924867163966972,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-224,0.425381661388271,1,0.979036489456128,3,0.0209635105438716,3,1.17484378734735,0.425381661388271,NaN,0.75
-607.316395619303,0.825287356321839,1,0.968672767566833,1,0.0313272324331672,1,1.1624073210802,0.825287356321839,NaN,0.15
112,0.851176331622453,1,0.719191339282643,2,0.280808660717357,2,0.863029607139172,0.851176331622453,NaN,0.45
653.648116257532,0.181609195402299,0,1,0,0.223261223391353,3,1.2,0.181609195402299,NaN,-0.15
-48,0.0705576378261901,1,0.991927561950158,1,0.00807243804984235,1,1.19031307434019,0.0705576378261901,NaN,0.15
-184,0.487656487909522,0,1,0,0.727218332510607,2,1.2,0.487656487909522,NaN,-0.15
781.493925903747,0.0275862068965517,0,1,0,0.965428051365876,2,1.2,0.0275862068965517,NaN,-0.15
-240,0.363269773964312,0,1,0,0.993757148174203,1,1.2,0.363269773964312,NaN,-0.15
