y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
576,0.104435770286691,0,1,0,0.12419663161239,1,1.2,0.104435770286691,NaN,-0.15
-320,0.479781180149054,0,1,0,0.625652239810095,2,1.2,0.479781180149054,NaN,-0.15
0,0.218147229291276,0,1,0,0.431812743667066,1,1.2,0.218147229291276,NaN,-0.15
-288,0.347636826429702,0,1,0,0.754978912452254,2,1.2,0.347636826429702,NaN,-0.15
-480,0.654330596468991,1,0.565059975687976,2,0.434940024312024,2,0.678071970825572,0.654330596468991,NaN,0.45
-312,0.571272939750613,1,0.513033441702217,1,0.486966558297783,1,0.615640130042661,0.571272939750613,NaN,0.15
0,0.988919377851229,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-328,0.588942833533523,1,0.680993832002851,2,0.319006167997149,2,0.817192598403422,0.588942833533523,NaN,0.45
0,0.590049621982527,0,1,0,0.937787458075729,2,1.2,0.590049621982527,NaN,-0.15
416,0.419676313672855,1,0.806750711204363,3,0.193249288795637,3,0.968100853445235,0.419676313672855,NaN,0.75
0,0.457017010388688,1,0.940501951918916,1,0.0594980480810838,1,1.1286023423027,0.457017010388688,NaN,0.15
584,0.246574301689066,1,0.860984316577601,1,0.139015683422399,1,1.03318117989312,0.246574301689066,NaN,0.15
0,0.312071037126149,0,1,0,0.771381341774384,1,1.2,0.312071037126149,NaN,-0.15
0,0.376559945062078,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-168,0.795295360710193,1,0.339486356779989,2,0.660513643220011,2,0.407383628135987,0.795295360710193,NaN,0.45
-208,0.61430432988905,1,0.742156684448505,3,0.257843315551495,3,0.890588021338206,0.61430432988905,NaN,0.75
-200,0.493181948980089,1,0.606033075441495,3,0.393966924558505,3,0.727239690529794,0.493181948980089,NaN,0.75
-56,0.342720696574217,0,1,0,0.877296515518232,3,1.2,0.342720696574217,NaN,-0.15
184,0.435969997251801,1,0.941382236348399,2,0.0586177636516012,2,1.12965868361808,0.435969997251801,NaN,0.45
-232,0.850501192139035,1,0.703761161335389,3,0.296238838664611,3,0.844513393602467,0.850501192139035,NaN,0.75
0,0.320687942350137,0,1,0,0.962108573388346,1,1.2,0.320687942350137,NaN,-0.15
-632,0.79973780228884,0,1,0,0.924967923517561,3,1.2,0.79973780228884,NaN,-0.15
-200,0.417781103777304,0,1,0,0.697792354259347,2,1.2,0.417781103777304,NaN,-0.15
-104,0.772354352660271,1,0.495703154220048,3,0.504296845779952,3,0.594843785064058,0.772354352660271,NaN,0.75
-48,0.0970506466235584,1,0.917087605496587,3,0.0829123945034129,3,1.1005051265959,0.0970506466235584,NaN,0.75
472,0.344179577097217,1,0.802719186838915,3,0.197280813161085,3,0.963263024206698,0.344179577097217,NaN,0.75
592,0.213138384705583,0,1,0,0.869683000440002,2,1.2,0.213138384705583,NaN,-0.15
-752,0.878783477407614,1,0.465859749624324,1,0.534140250375676,1,0.559031699549189,0.878783477407614,NaN,0.15
-312,0.613896087473182,1,0.533344147321531,2,0.466655852678469,2,0.640012976785837,0.613896087473182,NaN,0.45
-376,0.533703183391449,0,1,0,0.84531108456785,2,1.2,0.533703183391449,NaN,-0.15
224,0.431665844384671,1,0.600318041240392,2,0.399681958759608,2,0.720381649488471,0.431665844384671,NaN,0.45
0,0.151938551946457,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-96,0.576298607766374,1,0.981680888428689,3,0.0183191115713113,3,1.17801706611443,0.576298607766374,NaN,0.75
104,0.33697652594019,0,1,0,0.931515443747734,1,1.2,0.33697652594019,NaN,-0.15
160,0.607316547220356,0,1,0,0.75791925373063,2,1.2,0.607316547220356,NaN,-0.15
-72,0.65074880246471,1,0.946589970053538,1,0.0534100299464619,1,1.13590796406425,0.65074880246471,NaN,0.15
0,0.582656116284958,1,0.450486864264858,2,0.549513135735142,2,0.54058423711783,0.582656116284958,NaN,0.45
128,0.342879416900071,1,0.997671200465953,1,0.00232879953404705,1,1.19720544055914,0.342879416900071,NaN,0.15
-392,0.877392411362911,1,0.172253613785609,2,0.827746386214391,2,0.206704336542731,0.877392411362911,NaN,0.45
-192,0.752818350520577,1,0.71409548833079,3,0.28590451166921,3,0.856914585996948,0.752818350520577,NaN,0.75
0,0.553355318924666,0,1,0,0.998727414180631,3,1.2,0.553355318924666,NaN,-0.15
0,0.921937863032039,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0.473747404610971,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0.113657959740794,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0.717389737542534,1,0.585860803000542,1,0.414139196999458,1,0.70303296360065,0.717389737542534,NaN,0.15
0,0.66124745414515,1,0.401156059480976,1,0.598843940519024,1,0.481387271377172,0.66124745414515,NaN,0.15
0,0.8553184549075,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
0,0.530801627109264,0,1,0,0.708975978666092,2,1.2,0.530801627109264,NaN,-0.15
280,0.412145876099336,0,1,0,0.585931300356738,2,1.2,0.412145876099336,NaN,-0.15
368,0.22590475221255,0,1,0,0.526328401884169,1,1.2,0.22590475221255,NaN,-0.15
0,0.547409705833621,0,1,0,0.919363351654158,2,1.2,0.547409705833621,NaN,-0.15
40,0.590484942129422,1,0.638881593048965,3,0.361118406951035,3,0.766657911658757,0.590484942129422,NaN,0.75
-56,0.436177970725102,1,0.652341910658646,2,0.347658089341354,2,0.782810292790375,0.436177970725102,NaN,0.45
-112,0.531061512835121,1,0.731908912328751,3,0.268091087671249,3,0.878290694794502,0.531061512835121,NaN,0.75
-480,0.856001123516646,1,0.297307376405359,2,0.702692623594641,2,0.356768851686431,0.856001123516646,NaN,0.45
616,0.166366244207254,0,1,0,0.77842182883855,2,1.2,0.166366244207254,NaN,-0.15
0,0.0776954184946793,0,1,0,0.764683554662738,3,1.2,0.0776954184946793,NaN,-0.15
0,0.323965520637846,1,0.920898682021096,2,0.0791013179789041,2,1.10507841842532,0.323965520637846,NaN,0.45
0,0.3495431122243,1,0.965995558644226,1,0.0340044413557736,1,1.15919467037307,0.3495431122243,NaN,0.15
0,0.532068873252892,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0.177426536655083,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0.833197372779979,1,0.574918949946719,1,0.425081050053281,1,0.689902739936063,0.833197372779979,NaN,0.15
