adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
328,0.84,0,0.3,0.341666666666667,1,0.15,NaN,1
344,1.2,1,0.3,0.358333333333333,2,0,NaN,1
296,1.2,1,0.1,0.308333333333333,1,0,NaN,1
320,0.6,0,0.5,0.333333333333333,3,0.75,NaN,1
424,0.96,0,0.2,0.441666666666667,2,0.45,NaN,1
304,0.36,0,0.7,0.316666666666667,1,0.15,NaN,1
648,0.84,0,0.3,0.675,1,0.15,NaN,1
504,0.96,0,0.2,0.525,2,0.45,NaN,1
552,1.2,1,0.6,0.575,1,0,NaN,1
400,1.2,1,0.8,0.416666666666667,2,0,NaN,1
856,0.48,0,0.6,0.891666666666667,2,0.45,NaN,1
344,1.08,0,0.1,0.358333333333333,1,0.15,NaN,1
496,1.2,1,0.5,0.516666666666667,3,0,NaN,1
632,1.2,1,1,0.658333333333333,3,0,NaN,1
800,0.6,0,0.5,0.833333333333333,2,0.45,NaN,1
760,1.2,1,0.7,0.791666666666667,2,0,NaN,1
608,1.2,1,0.8,0.633333333333333,2,0,NaN,1
696,1.2,1,0.2,0.725,3,0,NaN,1
504,1.2,1,0.3,0.525,3,0,NaN,1
960,1.2,1,1,1,2,0,NaN,1
872,1.2,1,0.1,0.908333333333333,3,0,NaN,1
768,0.36,0,0.7,0.8,2,0.45,NaN,1
432,1.2,1,0.2,0.45,3,0,NaN,1
712,1.2,1,0.5,0.741666666666667,1,0,NaN,1
536,0.36,0,0.7,0.558333333333333,1,0.15,NaN,1
528,1.2,1,0.1,0.55,1,0,NaN,1
712,0.84,0,0.3,0.741666666666667,3,0.75,NaN,1
632,0.36,0,0.7,0.658333333333333,3,0.75,NaN,1
0,NaN,0,0.7,NaN,1,NaN,joystick_not_stationary,NaN
960,0.24,0,0.8,1,2,0.45,NaN,1
744,0.84,0,0.3,0.775,1,0.15,NaN,1
448,1.2,1,0.7,0.466666666666667,1,0,NaN,1
