y_adjust,monkey_bid,remaining_budget,reward,computer_bid,offer_value,win,budget_liquid,reward_liquid,monkey_final_bid,task_failure
-740.22831151895,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
-5.73593022257751,1,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
-632.524107399739,0.889655172413793,0.438563603766806,1,0.561436396233194,1,1,0.526276324520167,0.15,0.889655172413793,NaN
424,0.415227654413344,1,0,0.565580371135533,3,0,1.2,-0.15,0.415227654413344,NaN
480,0.241974375667404,1,0,0.259198886880609,2,0,1.2,-0.15,0.241974375667404,NaN
-200,0.313400209585805,1,0,0.962392701950124,2,0,1.2,-0.15,0.313400209585805,NaN
80,0.49006937482562,0.55410446076239,1,0.44589553923761,1,1,0.664925352914867,0.15,0.49006937482562,NaN
0,0.44572112767643,0.948453450373549,1,0.0515465496264513,1,1,1.13814414044826,0.15,0.44572112767643,NaN
-312,0.770086488087229,0.966911336735883,2,0.0330886632641175,2,1,1.16029360408306,0.45,0.770086488087229,NaN
0,0.27610067813572,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.459504280603713,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.369962739324961,1,0,0.603864987576248,1,0,1.2,-0.15,0.369962739324961,NaN
24,0.340043374550385,1,0,0.504224381060943,2,0,1.2,-0.15,0.340043374550385,NaN
504,0.244695725909372,0.808826418249821,3,0.191173581750179,3,1,0.970591701899786,0.75,0.244695725909372,NaN
-368,0.641920054050373,0.871241842366311,3,0.128758157633689,3,1,1.04549021083957,0.75,0.641920054050373,NaN
344,0.321832968309385,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
174.340826547999,0.147126436781609,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
-56,0.244199669250579,1,0,0.650360880144872,2,0,1.2,-0.15,0.244199669250579,NaN
24,0.261679194177117,0.791162340922265,3,0.208837659077735,3,1,0.949394809106718,0.75,0.261679194177117,NaN
296,0.193128340436745,1,0,0.425298355898501,3,0,1.2,-0.15,0.193128340436745,NaN
344,0.288750148178058,0.819784249565108,2,0.180215750434892,2,1,0.983741099478129,0.45,0.288750148178058,NaN
424,0.339140576692941,0.95763784250192,2,0.0423621574980798,2,1,1.1491654110023,0.45,0.339140576692941,NaN
-608,0.704820964789116,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
-584,0.727608678502005,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
-88,0.153238632132627,1,0,0.321124238291177,2,0,1.2,-0.15,0.153238632132627,NaN
-192,0.600965224262735,0.587381699085153,3,0.412618300914847,3,1,0.704858038902183,0.75,0.600965224262735,NaN
296,0.51362843726937,0.908804690630526,1,0.0911953093694743,1,1,1.09056562875663,0.15,0.51362843726937,NaN
160,0.490533541764653,0.972332225918694,1,0.0276677740813065,1,1,1.16679867110243,0.15,0.490533541764653,NaN
-80,0.579437419282489,0.796716397051662,2,0.203283602948338,2,1,0.956059676461994,0.45,0.579437419282489,NaN
368,0.516983182388609,1,0,0.598494689697886,1,0,1.2,-0.15,0.516983182388609,NaN
-760,0.946379701522049,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
-11.8416851087338,0.466666666666667,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
424.537574541239,0.064367816091954,1,0,0.732337099449415,1,0,1.2,-0.15,0.064367816091954,NaN
-80,0.399823653289217,0.71299351418171,1,0.28700648581829,1,1,0.855592217018052,0.15,0.399823653289217,NaN
344,0.231523738668161,1,0,0.487233938160487,2,0,1.2,-0.15,0.231523738668161,NaN
