y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
-416,0.652691939362875,1,0.382836884138207,2,0.617163115861793,2,0.459404260965849,0.652691939362875,NaN,0.45
-688,0.946183000396065,1,0.0890611200977698,1,0.91093887990223,1,0.106873344117324,0.946183000396065,NaN,0.15
-208,0.575259793932784,1,0.763584110872466,1,0.236415889127534,1,0.91630093304696,0.575259793932784,NaN,0.15
-376,0.79214999283124,0,1,0,0.860858457457679,3,1.2,0.79214999283124,NaN,-0.15
56,0.554981134222994,1,0.503616846146379,2,0.496383153853621,2,0.604340215375654,0.554981134222994,NaN,0.45
0,0.142980158378712,1,0.920191495120736,2,0.0798085048792645,2,1.10422979414488,0.142980158378712,NaN,0.45
0,0.547951487937537,1,0.988321957098545,3,0.0116780429014551,3,1.18598634851825,0.547951487937537,NaN,0.75
264,0.288637658160259,0,1,0,0.917024567622587,2,1.2,0.288637658160259,NaN,-0.15
-104,0.242937870816973,0,1,0,0.270841238728637,3,1.2,0.242937870816973,NaN,-0.15
0,0.223577128777316,0,1,0,0.982108150631007,2,1.2,0.223577128777316,NaN,-0.15
-136,0.404569292783366,0,1,0,0.508808145628992,1,1.2,0.404569292783366,NaN,-0.15
0,0.332985833414017,NaN,NaN,NaN,NaN,2,NaN,NaN,non_targeted_bidding,NaN
0,0.093992024790505,NaN,NaN,NaN,NaN,1,NaN,NaN,non_targeted_bidding,NaN
0,0.920892163712204,1,0.725711454289153,3,0.274288545710847,3,0.870853745146983,0.920892163712204,NaN,0.75
0,0.478626918533727,NaN,NaN,NaN,NaN,3,NaN,NaN,non_targeted_bidding,NaN
0,0.324961524778798,NaN,NaN,NaN,NaN,3,NaN,NaN,non_targeted_bidding,NaN
0,0.984168463566704,NaN,NaN,NaN,NaN,1,NaN,NaN,non_targeted_bidding,NaN
0,0.952804021574346,NaN,NaN,NaN,NaN,2,NaN,NaN,non_targeted_bidding,NaN
0,0.0725501283968097,NaN,NaN,NaN,NaN,3,NaN,NaN,non_targeted_bidding,NaN
0,0.339566685652448,NaN,NaN,NaN,NaN,2,NaN,NaN,non_targeted_bidding,NaN
0,0.822974574602096,NaN,NaN,NaN,NaN,2,NaN,NaN,non_targeted_bidding,NaN
-240,0.353823152666199,0,1,0,0.407623488392782,1,1.2,0.353823152666199,NaN,-0.15
0,0.255996561507848,NaN,NaN,NaN,NaN,2,NaN,NaN,non_targeted_bidding,NaN
128,0.239318432661102,0,1,0,0.690111360931489,3,1.2,0.239318432661102,NaN,-0.15
-272,0.378453450253587,0,1,0,0.640643949075335,1,1.2,0.378453450253587,NaN,-0.15
