y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
16,0.556735392210765,1,0.76659153951354,1,0.23340846048646,1,0.919909847416248,0.556735392210765,NaN,0.15
424,0.264337090391573,1,0.879898815552267,3,0.120101184447733,3,1.05587857866272,0.264337090391573,NaN,0.75
-56,0.51438211229669,0,1,0,0.736191745953784,3,1.2,0.51438211229669,NaN,-0.15
0,0.835289703751765,0,1,0,0.952951514919206,2,1.2,0.835289703751765,NaN,-0.15
-390.230238533474,0.880459770114942,1,0.34475312278639,3,0.65524687721361,3,0.413703747343668,0.880459770114942,NaN,0.75
104,0.306778226855731,0,1,0,0.363906428907785,1,1.2,0.306778226855731,NaN,-0.15
232,0.0747394704148908,0,1,0,0.706749674315954,2,1.2,0.0747394704148908,NaN,-0.15
368,0.341280635021876,0,1,0,0.836764679080944,3,1.2,0.341280635021876,NaN,-0.15
-440,0.649753965180716,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
230.342612888446,0.328735632183908,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
16,0.29629901272458,0,1,0,0.374292930702932,2,1.2,0.29629901272458,NaN,-0.15
-113.298357785315,0.266666666666667,0,1,0,0.366653203756152,2,1.2,0.266666666666667,NaN,-0.15
408,0.409384452357125,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-424,0.684371505380109,1,0.421530332660155,1,0.578469667339845,1,0.505836399192186,0.684371505380109,NaN,0.15
-517.733957539771,0.726436781609195,0,1,0,0.736834344509413,3,1.2,0.726436781609195,NaN,-0.15
-328.514851028426,0.852873563218391,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
24,0.643505121228529,1,0.6218801621621,2,0.3781198378379,2,0.74625619459452,0.643505121228529,NaN,0.45
160,0.398379524434023,0,1,0,0.81709941753394,3,1.2,0.398379524434023,NaN,-0.15
718.045120674834,0.0827586206896552,0,1,0,0.751922704634201,1,1.2,0.0827586206896552,NaN,-0.15
0,0.555868972262136,0,1,0,0.59583854820772,3,1.2,0.555868972262136,NaN,-0.15
-72,0.543246486297801,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
264,0.421080496979895,1,0.662022711884633,1,0.337977288115367,1,0.79442725426156,0.421080496979895,NaN,0.15
96,0.719761759683055,1,0.842288714890931,2,0.157711285109069,2,1.01074645786912,0.719761759683055,NaN,0.45
-104,0.253019373876733,0,1,0,0.969871269407978,1,1.2,0.253019373876733,NaN,-0.15
-32,0.543758488624204,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-168,0.248820972104595,0,1,0,0.591583496683094,3,1.2,0.248820972104595,NaN,-0.15
-495.572720926236,1,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-120,0.198863166848938,0,1,0,0.95660375527269,2,1.2,0.198863166848938,NaN,-0.15
30.8703398223016,0.935632183908046,1,0.92185873474893,3,0.0781412652510697,3,1.10623048169872,0.935632183908046,NaN,0.75
56,0.356248393503013,0,1,0,0.705226247305272,3,1.2,0.356248393503013,NaN,-0.15
-78.2428013441739,0.908045977011494,1,0.186341871868501,3,0.813658128131499,3,0.223610246242201,0.908045977011494,NaN,0.75
-744,0.873527246316841,1,0.48212774442469,2,0.51787225557531,2,0.578553293309628,0.873527246316841,NaN,0.45
-432,0.646901220787768,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
296,0.185842002625172,0,1,0,0.719641150255121,1,1.2,0.185842002625172,NaN,-0.15
