y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
-288,0.707038362515279,0,1,0,0.921009501649293,3,1.2,0.707038362515279,NaN,-0.15
-400,0.540406371187965,1,0.475272237205562,1,0.524727762794438,1,0.570326684646674,0.540406371187965,NaN,0.15
-288,0.809797558232493,1,0.749396522808006,1,0.250603477191994,1,0.899275827369608,0.809797558232493,NaN,0.15
-72,0.372036070182583,1,0.714996617895073,1,0.285003382104927,1,0.857995941474088,0.372036070182583,NaN,0.15
-425.015023310676,0.542528735632184,0,1,0,0.915293971768518,1,1.2,0.542528735632184,NaN,-0.15
-336.236095335623,1,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
554.693199080247,0.294252873563218,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-64,0.383474223554072,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
-104,0.364882024400808,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
754.237116935934,0.064367816091954,0,1,0,0.71555264847455,1,1.2,0.064367816091954,NaN,-0.15
352,0.443264418447715,1,0.715480862560397,2,0.284519137439603,2,0.858577035072477,0.443264418447715,NaN,0.45
-312,0.510273347890817,1,0.647468281453212,2,0.352531718546788,2,0.776961937743854,0.510273347890817,NaN,0.45
-348.556720053513,0.551724137931034,0,1,0,0.595787046732818,1,1.2,0.551724137931034,NaN,-0.15
-662.184262617504,0.827586206896552,1,0.374368720875974,2,0.625631279124026,2,0.449242465051169,0.827586206896552,NaN,0.45
-610.306084299773,0.891954022988506,0,1,0,0.971901845644636,3,1.2,0.891954022988506,NaN,-0.15
123.767465013646,0.779310344827586,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
-384,0.554824669149515,1,0.652245992579755,3,0.347754007420245,3,0.782695191095706,0.554824669149515,NaN,0.75
-480,0.877164377344268,1,0.793495752401064,1,0.206504247598936,1,0.952194902881277,0.877164377344268,NaN,0.15
-240,0.721963189402716,1,0.892378542780373,2,0.107621457219627,2,1.07085425133645,0.721963189402716,NaN,0.45
-120,0.141061711199008,0,1,0,0.539179940264984,1,1.2,0.141061711199008,NaN,-0.15
16,0.295103678973565,0,1,0,0.397886610639597,2,1.2,0.295103678973565,NaN,-0.15
624,0.145670564308156,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
144,0.0464349918792589,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
